0.010000 100.000000 -5175.615240 51.756144 -0.000848 0.000008 0.000000 
0.020000 50.000000 -2587.808244 51.756132 -0.001649 0.000032 0.000000 
0.030000 33.333333 -1725.206179 51.756112 -0.002450 0.000072 0.000000 
0.040000 25.000000 -1293.905347 51.756084 -0.003251 0.000128 0.000000 
0.050000 20.000000 -1035.125008 51.756048 -0.004054 0.000201 0.000000 
0.060000 16.666667 -862.604916 51.756004 -0.004857 0.000289 0.000000 
0.070000 14.285714 -739.376393 51.755951 -0.005660 0.000394 0.000000 
0.080000 12.500000 -646.955102 51.755891 -0.006465 0.000515 0.000000 
0.090000 11.111111 -575.071965 51.755822 -0.007271 0.000653 0.000000 
0.100000 10.000000 -517.565536 51.755746 -0.008077 0.000807 0.000000 
0.110000 9.090909 -470.514894 51.755661 -0.008885 0.000978 0.000000 
0.120000 8.333333 -431.306094 51.755568 -0.009693 0.001165 0.000000 
0.130000 7.692308 -398.129479 51.755467 -0.010503 0.001370 0.000000 
0.140000 7.142857 -369.692438 51.755357 -0.011315 0.001591 0.000000 
0.150000 6.666667 -345.047057 51.755239 -0.012127 0.001830 0.000000 
0.160000 6.250000 -323.482399 51.755113 -0.012941 0.002086 0.000000 
0.170000 5.882353 -304.454808 51.754979 -0.013756 0.002359 0.000000 
0.180000 5.555556 -287.541439 51.754836 -0.014573 0.002650 0.000000 
0.190000 5.263158 -272.408468 51.754684 -0.015392 0.002958 0.000000 
0.200000 5.000000 -258.788834 51.754524 -0.016212 0.003285 0.000000 
0.210000 4.761905 -246.466348 51.754356 -0.017035 0.003630 0.000000 
0.220000 4.545455 -235.264125 51.754179 -0.017859 0.003993 0.000000 
0.230000 4.347826 -225.036045 51.753993 -0.018685 0.004375 0.000000 
0.240000 4.166667 -215.660339 51.753798 -0.019513 0.004776 0.000000 
0.250000 4.000000 -207.034722 51.753595 -0.020343 0.005197 0.000000 
0.260000 3.846154 -199.072647 51.753382 -0.021176 0.005636 0.000000 
0.270000 3.703704 -191.700385 51.753161 -0.022011 0.006096 0.000000 
0.280000 3.571429 -184.854744 51.752931 -0.022848 0.006576 0.000000 
0.290000 3.448276 -178.481245 51.752691 -0.023688 0.007076 0.000000 
0.300000 3.333333 -172.532674 51.752443 -0.024531 0.007597 0.000000 
0.310000 3.225806 -166.967909 51.752185 -0.025377 0.008139 0.000000 
0.320000 3.125000 -161.750968 51.751918 -0.026225 0.008703 0.000000 
0.330000 3.030303 -156.850231 51.751641 -0.027076 0.009289 0.000000 
0.340000 2.941176 -152.237798 51.751355 -0.027931 0.009897 0.000000 
0.350000 2.857143 -147.888957 51.751059 -0.028789 0.010528 0.000000 
0.360000 2.777778 -143.781742 51.750753 -0.029650 0.011182 0.000000 
0.370000 2.702703 -139.896562 51.750437 -0.030514 0.011861 0.000000 
0.380000 2.631579 -136.215888 51.750112 -0.031383 0.012564 0.000000 
0.390000 2.564103 -132.723988 51.749776 -0.032255 0.013292 0.000000 
0.400000 2.500000 -129.406706 51.749430 -0.033130 0.014045 0.000000 
0.410000 2.439024 -126.251264 51.749074 -0.034010 0.014825 0.000000 
0.420000 2.380952 -123.246102 51.748707 -0.034894 0.015631 0.000000 
0.430000 2.325581 -120.380735 51.748330 -0.035783 0.016465 0.000000 
0.440000 2.272727 -117.645632 51.747941 -0.036675 0.017328 0.000000 
0.450000 2.222222 -115.032110 51.747542 -0.037573 0.018219 0.000000 
0.460000 2.173913 -112.532239 51.747131 -0.038475 0.019140 0.000000 
0.470000 2.127660 -110.138764 51.746710 -0.039382 0.020092 0.000000 
0.480000 2.083333 -107.845036 51.746276 -0.040294 0.021075 0.000000 
0.490000 2.040816 -105.644949 51.745831 -0.041211 0.022091 0.000000 
0.500000 2.000000 -103.532883 51.745375 -0.042134 0.023141 0.000000 
0.510000 1.960784 -101.503662 51.744906 -0.043063 0.024224 0.000000 
0.520000 1.923077 -99.552506 51.744425 -0.043997 0.025343 0.000000 
0.530000 1.886792 -97.674995 51.743931 -0.044937 0.026499 0.000000 
0.540000 1.851852 -95.867040 51.743424 -0.045884 0.027693 0.000000 
0.550000 1.818182 -94.124846 51.742905 -0.046837 0.028926 0.000000 
0.560000 1.785714 -92.444890 51.742373 -0.047796 0.030199 0.000000 
0.570000 1.754386 -90.823897 51.741827 -0.048763 0.031514 0.000000 
0.580000 1.724138 -89.258817 51.741267 -0.049736 0.032872 0.000000 
0.590000 1.694915 -87.746807 51.740693 -0.050717 0.034274 0.000000 
0.600000 1.666667 -86.285214 51.740105 -0.051706 0.035724 0.000000 
0.610000 1.639344 -84.871558 51.739502 -0.052702 0.037221 0.000000 
0.620000 1.612903 -83.503520 51.738884 -0.053706 0.038768 0.000000 
0.630000 1.587302 -82.178927 51.738251 -0.054719 0.040366 0.000000 
0.640000 1.562500 -80.895745 51.737603 -0.055740 0.042018 0.000000 
0.650000 1.538462 -79.652060 51.736938 -0.056771 0.043726 0.000000 
0.660000 1.515152 -78.446079 51.736257 -0.057810 0.045492 0.000000 
0.670000 1.492537 -77.276112 51.735559 -0.058860 0.047319 0.000000 
0.680000 1.470588 -76.140572 51.734845 -0.059919 0.049208 0.000000 
0.690000 1.449275 -75.037962 51.734112 -0.060988 0.051162 0.000000 
0.700000 1.428571 -73.966870 51.733361 -0.062068 0.053184 0.000000 
0.710000 1.408451 -72.925965 51.732592 -0.063159 0.055278 0.000000 
0.720000 1.388889 -71.913989 51.731804 -0.064261 0.057445 0.000000 
0.730000 1.369863 -70.929754 51.730996 -0.065375 0.059690 0.000000 
